id;placed_date;status;total_price;payment_method;customer_details_id
1;2022-12-08T02:48:13;PENDING;33498;IDEAL;1
2;2022-12-07T19:24:50;PENDING;95881;CREDIT_CARD;2
3;2022-12-08T00:20:24;CANCELLED;66551;IDEAL;2
4;2022-12-07T21:02:23;COMPLETED;90304;IDEAL;1
5;2022-12-08T09:18:46;CANCELLED;95383;IDEAL;2
6;2022-12-08T13:08:17;PAID;45425;CREDIT_CARD;1
7;2022-12-08T08:11:41;PENDING;94970;CREDIT_CARD;2
8;2022-12-08T09:14:11;CANCELLED;70368;CREDIT_CARD;2
9;2022-12-08T09:57:45;CANCELLED;83961;IDEAL;1
10;2022-12-08T02:42:56;COMPLETED;6346;IDEAL;2
